video_name,character,view,compression,qp,clarity,interaction,depth,overall,mos,mos_ref,dmos_100,vmaf,ssim,psnr
loot_right_GTC_qp45.mp4,loot,right,GTC,45,2,2,3,2,2.25,3.5,31.25,88.974995,0.99297,48.767718
loot_left_GTC_qp35.mp4,loot,left,GTC,35,3,2,3,2,2.5,4.5,50,92.313279,0.994863,50.910903
loot_back_GTC_qp25.mp4,loot,back,GTC,25,4,2,3,4,3.25,5,43.75,97.225462,0.99608,52.493712
loot_front_GTC_qp15.mp4,loot,front,GTC,15,4,2,3,4,3.25,5,43.75,98.236993,0.997339,55.154649
loot_left_GC_qp35.mp4,loot,left,GC,35,2,1,3,1,1.75,4.5,68.75,92.473826,0.994776,47.826768
loot_right_GC_qp45.mp4,loot,right,GC,45,2,1,3,1,1.75,3.5,43.75,89.23228,0.991349,44.45029
loot_back_GC_qp25.mp4,loot,back,GC,25,4,1,5,4,3.5,5,37.5,97.297501,0.99616,50.734882
loot_right_GTC_qp45.mp4,loot,right,GTC,45,1,2,2,1,1.5,3.5,50,88.974995,0.99297,48.767718
loot_left_GTC_qp35.mp4,loot,left,GTC,35,3,2,3,2,2.5,4.5,50,92.313279,0.994863,50.910903
loot_back_GTC_qp25.mp4,loot,back,GTC,25,4,4,4,4,4,5,25,97.225462,0.99608,52.493712
loot_front_GTC_qp15.mp4,loot,front,GTC,15,4,4,4,4,4,5,25,98.236993,0.997339,55.154649
loot_right_GC_qp45.mp4,loot,right,GC,45,3,3,3,3,3,3.5,12.5,89.23228,0.991349,44.45029
loot_left_GC_qp35.mp4,loot,left,GC,35,3,3,3,3,3,4.5,37.5,92.473826,0.994776,47.826768
loot_back_GC_qp25.mp4,loot,back,GC,25,4,3,2,3,3,5,50,97.297501,0.99616,50.734882
loot_front_GC_qp15.mp4,loot,front,GC,15,2,3,2,3,2.5,5,62.5,98.349802,0.998985,57.53844
loot_right_TC_qp45.mp4,loot,right,TC,45,4,3,4,3,3.5,3.5,0,89.184373,0.992985,46.632678
loot_left_TC_qp35.mp4,loot,left,TC,35,4,3,2,3,3,4.5,37.5,92.445689,0.995403,49.625963
loot_back_TC_qp25.mp4,loot,back,TC,25,3,3,3,3,3,5,50,97.297985,0.996706,51.942245
loot_front_TC_qp15.mp4,loot,front,TC,15,4,3,2,3,3,5,50,98.349802,0.999115,58.398843
loot_front_GTC_qp15.mp4,loot,front,GTC,15,4,5,4,4,4.25,5,18.75,98.236993,0.997339,55.154649
loot_right_GC_qp45.mp4,loot,right,GC,45,1,1,1,1,1,3.5,62.5,89.23228,0.991349,44.45029
loot_left_GC_qp35.mp4,loot,left,GC,35,2,1,3,1,1.75,4.5,68.75,92.473826,0.994776,47.826768
loot_back_GC_qp25.mp4,loot,back,GC,25,5,5,5,5,5,5,0,97.297501,0.99616,50.734882
loot_front_GC_qp15.mp4,loot,front,GC,15,5,5,5,5,5,5,0,98.349802,0.998985,57.53844
loot_right_TC_qp45.mp4,loot,right,TC,45,2,2,2,2,2,3.5,37.5,89.184373,0.992985,46.632678
loot_left_TC_qp35.mp4,loot,left,TC,35,4,2,2,2,2.5,4.5,50,92.445689,0.995403,49.625963
loot_back_TC_qp25.mp4,loot,back,TC,25,2,2,4,2,2.5,5,62.5,97.297985,0.996706,51.942245
loot_front_TC_qp15.mp4,loot,front,TC,15,4,4,4,4,4,5,25,98.349802,0.999115,58.398843
loot_right_GC_qp45.mp4,loot,right,GC,45,1,3,2,3,2.25,3.5,31.25,89.23228,0.991349,44.45029
loot_left_GC_qp35.mp4,loot,left,GC,35,2,3,3,3,2.75,4.5,43.75,92.473826,0.994776,47.826768
loot_back_GC_qp25.mp4,loot,back,GC,25,2,3,2,3,2.5,5,62.5,97.297501,0.99616,50.734882
loot_front_GC_qp15.mp4,loot,front,GC,15,2,3,2,2,2.25,5,68.75,98.349802,0.998985,57.53844
loot_right_GTC_qp45.mp4,loot,right,GTC,45,1,1,1,1,1,3.5,62.5,88.974995,0.99297,48.767718
loot_left_GTC_qp35.mp4,loot,left,GTC,35,1,2,2,1,1.5,4.5,75,92.313279,0.994863,50.910903
loot_back_GTC_qp25.mp4,loot,back,GTC,25,2,2,3,3,2.5,5,62.5,97.225462,0.99608,52.493712
loot_front_GTC_qp15.mp4,loot,front,GTC,15,3,2,3,3,2.75,5,56.25,98.236993,0.997339,55.154649
loot_right_GTC_qp45.mp4,loot,right,GTC,45,1,1,1,1,1,3.5,62.5,88.974995,0.99297,48.767718
loot_left_GTC_qp35.mp4,loot,left,GTC,35,3,3,3,3,3,4.5,37.5,92.313279,0.994863,50.910903
loot_back_GTC_qp25.mp4,loot,back,GTC,25,5,5,5,5,5,5,0,97.225462,0.99608,52.493712
loot_front_GTC_qp15.mp4,loot,front,GTC,15,5,5,5,5,5,5,0,98.236993,0.997339,55.154649
loot_right_GTC_qp45.mp4,loot,right,GTC,45,2,2,3,3,2.5,3.5,25,88.974995,0.99297,48.767718
loot_left_GTC_qp35.mp4,loot,left,GTC,35,3,2,3,3,2.75,4.5,43.75,92.313279,0.994863,50.910903
loot_back_GTC_qp25.mp4,loot,back,GTC,25,4,3,4,3,3.5,5,37.5,97.225462,0.99608,52.493712
loot_front_GTC_qp15.mp4,loot,front,GTC,15,4,3,3,3,3.25,5,43.75,98.236993,0.997339,55.154649
loot_right_GC_qp45.mp4,loot,right,GC,45,1,3,1,1,1.5,3.5,50,89.23228,0.991349,44.45029
loot_back_GC_qp25.mp4,loot,back,GC,25,3,5,3,3,3.5,5,37.5,97.297501,0.99616,50.734882
loot_front_GC_qp15.mp4,loot,front,GC,15,4,5,3,4,4,5,25,98.349802,0.998985,57.53844
loot_right_GC_qp45.mp4,loot,right,GC,45,1,1,1,1,1,3.5,62.5,89.23228,0.991349,44.45029
loot_left_GC_qp35.mp4,loot,left,GC,35,2,2,1,2,1.75,4.5,68.75,92.473826,0.994776,47.826768
loot_back_GC_qp25.mp4,loot,back,GC,25,2,2,2,2,2,5,75,97.297501,0.99616,50.734882
loot_front_GC_qp15.mp4,loot,front,GC,15,4,3,4,4,3.75,5,31.25,98.349802,0.998985,57.53844
loot_right_GTC_qp45.mp4,loot,right,GTC,45,2,2,2,2,2,3.5,37.5,88.974995,0.99297,48.767718
loot_left_GTC_qp35.mp4,loot,left,GTC,35,2,3,2,2,2.25,4.5,56.25,92.313279,0.994863,50.910903
loot_back_GTC_qp25.mp4,loot,back,GTC,25,4,4,4,4,4,5,25,97.225462,0.99608,52.493712
loot_front_GTC_qp15.mp4,loot,front,GTC,15,5,4,4,4,4.25,5,18.75,98.236993,0.997339,55.154649
loot_left_TC_qp35.mp4,loot,left,TC,35,3,4,4,4,3.75,4.5,18.75,92.445689,0.995403,49.625963
loot_left_TC_qp35.mp4,loot,left,TC,35,5,5,4,4,4.5,4.5,0,92.445689,0.995403,49.625963
loot_right_TC_qp45.mp4,loot,right,TC,45,2,3,2,3,2.5,3.5,25,89.184373,0.992985,46.632678
loot_back_TC_qp25.mp4,loot,back,TC,25,5,4,4,5,4.5,5,12.5,97.297985,0.996706,51.942245
loot_front_TC_qp15.mp4,loot,front,TC,15,4,4,3,4,3.75,5,31.25,98.349802,0.999115,58.398843
loot_left_TC_qp35.mp4,loot,left,TC,35,3,2,2,2,2.25,4.5,56.25,92.445689,0.995403,49.625963
loot_right_TC_qp45.mp4,loot,right,TC,45,2,2,2,2,2,3.5,37.5,89.184373,0.992985,46.632678
loot_back_TC_qp25.mp4,loot,back,TC,25,3,4,3,3,3.25,5,43.75,97.297985,0.996706,51.942245
loot_front_TC_qp15.mp4,loot,front,TC,15,3,4,3,3,3.25,5,43.75,98.349802,0.999115,58.398843
loot_back_TC_qp25.mp4,loot,back,TC,25,2,3,3,3,2.75,5,56.25,97.297985,0.996706,51.942245
loot_front_TC_qp15.mp4,loot,front,TC,15,2,4,3,3,3,5,50,98.349802,0.999115,58.398843
soldier_right_GTC_qp45.mp4,soldier,right,GTC,45,3,2,3,0,2,3.5,37.5,79.94791,0.9902,43.616349
soldier_left_GTC_qp35.mp4,soldier,left,GTC,35,2,2,4,2,2.5,4.5,50,87.268629,0.993727,46.332718
soldier_back_GTC_qp25.mp4,soldier,back,GTC,25,4,3,3,4,3.5,5,37.5,93.94527,0.996213,49.52843
soldier_front_GTC_qp15.mp4,soldier,front,GTC,15,4,2,3,5,3.5,5,37.5,97.426946,0.999039,56.575319
soldier_left_GC_qp35.mp4,soldier,left,GC,35,2,1,4,1,2,4.5,62.5,87.268629,0.993727,46.332718
soldier_right_GC_qp45.mp4,soldier,right,GC,45,3,1,3,1,2,3.5,37.5,79.94791,0.9902,43.616349
soldier_back_GC_qp25.mp4,soldier,back,GC,25,4,1,5,4,3.5,5,37.5,93.94527,0.996213,49.52843
soldier_right_GTC_qp45.mp4,soldier,right,GTC,45,1,2,2,1,1.5,3.5,50,79.94791,0.9902,43.616349
soldier_left_GTC_qp35.mp4,soldier,left,GTC,35,2,2,3,2,2.25,4.5,56.25,87.268629,0.993727,46.332718
soldier_back_GTC_qp25.mp4,soldier,back,GTC,25,4,4,5,4,4.25,5,18.75,93.94527,0.996213,49.52843
soldier_front_GTC_qp15.mp4,soldier,front,GTC,15,4,4,4,4,4,5,25,97.426946,0.999039,56.575319
soldier_right_GC_qp45.mp4,soldier,right,GC,45,2,3,4,3,3,3.5,12.5,79.94791,0.9902,43.616349
soldier_left_GC_qp35.mp4,soldier,left,GC,35,2,4,3,3,3,4.5,37.5,87.268629,0.993727,46.332718
soldier_back_GC_qp25.mp4,soldier,back,GC,25,4,4,2,4,3.5,5,37.5,93.94527,0.996213,49.52843
soldier_front_GC_qp15.mp4,soldier,front,GC,15,3,3,2,3,2.75,5,56.25,97.426946,0.999039,56.575319
soldier_right_TC_qp45.mp4,soldier,right,TC,45,4,3,4,3,3.5,3.5,0,80.364599,0.992331,45.887325
soldier_left_TC_qp35.mp4,soldier,left,TC,35,4,3,2,4,3.25,4.5,31.25,86.191255,0.99482,48.345451
soldier_back_TC_qp25.mp4,soldier,back,TC,25,2,4,3,3,3,5,50,93.457238,0.996666,50.962572
soldier_front_TC_qp15.mp4,soldier,front,TC,15,4,3,2,3,3,5,50,97.432416,0.999145,57.436811
